state,x,y
Andhra Pradesh,-68,-152
Arunachal Pradesh,220,138
Assam,186,92
Bihar,62,69
Chhattisgarh,-13,-20
Goa,-160,-140
Gujarat,-196,24
Haryana,-112,141
Himachal Pradesh,-92,193
Jharkhand,52,24
Karnataka,-134,-166
Kerala,-117,-248
Madhya Pradesh,-83,18
Maharashtra,-139,-61
Manipur,211,58
Meghalaya,158,72
Mizoram,196,26
Nagaland,224,89
Odisha,43,-33
Punjab,-127,169
Rajasthan,-158,88
Sikkim,111,116
Tamil Nadu,-74,-236
Telangana,-65,-92
Tripura,168,33
Uttar Pradesh,-32,93
Uttarakhand,-54,164
West Bengal,98,17